Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude,Postcode_py,address_py
195,APOLLOCBCC CANCER CARE,"Akshara Complex, 12 Shanti Sadan Co-op Housing Soc. Ltd Near Parimal Garden, Ahmedabad, Gujarat",380006,Ahmedabad,Gujrat,India,,,,,,23.018488,72.5581127,GEOMETRIC_CENTER,NABH,,"MRS SANGEET A NAIR, 079-40734004/ 40734073     centrehead@apollocbcc.com",CGHS_hospitals,1,,23.018488,72.5581127,"APOLLOCBCC CANCER CARE, Akshara Complex, 12 Shanti Sadan Co-op Housing Soc. Ltd Near Parimal Garden, Ahmedabad, Gujarat, Ahmedabad, 380006",23.0307212,72.6473391,380001,"Shastri Nagar, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
196,Netralaya Super Speciality Eye Care HOSPITAL,"Chimanlal Girdharlal Rd, Shanti Sadan Society, Ambawadi, Ahmedabad, Gujarat",380006,Ahmedabad,Gujrat,India,,,,,,23.0191922,72.557399,GEOMETRIC_CENTER,non nabh,,"MR FRANCIS CHRISTIAN, netralaya.ahd@gmail.com   079-26440440",CGHS_hospitals,1,,23.0191922,72.557399,"Netralaya Super Speciality Eye Care HOSPITAL, Chimanlal Girdharlal Rd, Shanti Sadan Society, Ambawadi, Ahmedabad, Gujarat, Ahmedabad, 380006",23.019115,72.5574269,380001,"Paldi, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
197,STERLING ACCURIS WELLNESS,"101-109, SANKALP SQUARE 2, NEAR CROSS ROADS, B/S JALARAM MANDIR, AHMEDABAD-",380006,Ahmedabad,Gujrat,India,,,,,,23.019578,72.560735,GEOMETRIC_CENTER,NABL,,"DHARMIL VYAS, 8905894302     dr.dhaval@sterlingaccuris.com",CGHS_hospitals,,,,,"STERLING ACCURIS WELLNESS, 101-109, SANKALP SQUARE 2, NEAR CROSS ROADS, B/S JALARAM MANDIR, AHMEDABAD-, Ahmedabad, 380006",23.019444,72.5605293,380006,"STERLING ACCURIS WELLNESS,101-109, First Floor, Sankalp Square - 2 Nr. Old Sharda Mandir Cross Roads, Jalaram Mandir Railway Crossing, Ellisbridge, Ahmedabad, Gujarat-380 006."
198,NARAYANA MULTISPECIALITY HOSPITAL,"Narayana Multispeciality Hospital, Rakhial, Ahmedabad, Gujarat",380023,Ahmedabad,Gujrat,India,,,,,,23.0226551,72.6236515,ROOFTOP,NABH,,"079-71222398, 71222698, ",CGHS_hospitals,1,,23.0226551,72.6236515,"NARAYANA MULTISPECIALITY HOSPITAL, Narayana Multispeciality Hospital, Rakhial, Ahmedabad, Gujarat, Ahmedabad, 380023",23.0225928,72.6237098,380009,"Narayana Hrudayalaya Hospital, Rakhial Road, Pratapnagar, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380009, India"
199,CONTACARE EYE HOSPITAL,"Parker House, Near Panchwati circle, Netaji Rd, Ahmedabad, Gujarat",380007,Ahmedabad,Gujrat,India,,,,,,23.02347202,72.55733868,GEOMETRIC_CENTER,NABH,,"POONAM GOSWAMI, 9324942415    ahmedabad.gj@contacre.com",CGHS_hospitals,1,,23.02347202,72.55733868,"CONTACARE EYE HOSPITAL, Parker House, Near Panchwati circle, Netaji Rd, Ahmedabad, Gujarat, Ahmedabad, 380007",23.0235391,72.5573378,380001,"Ambawadi, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
200,KRISHNA SHALBY HOSPITAL,"319, GREEN CITY GHUMA, VIA BOPAL AHMEDABAD",380058,Ahmedabad,Gujrat,India,,,,,,23.024069,72.4413764,GEOMETRIC_CENTER,NABH,,"02717230877-81, ",CGHS_hospitals,,,,,"KRISHNA SHALBY HOSPITAL, 319, GREEN CITY GHUMA, VIA BOPAL AHMEDABAD, Ahmedabad, 380058",23.0240166,72.441545,380058,"Krishna Shalby Hospital, Telav-Guma Road, Ghuma, Daskroi Taluka, Ahmedabad District, Gujarat, 380058, India"
201,Dr. Rathod's EYE CARE HOSPITAL,"Polytechnic Rd, behind IOC Petrol pump, Ambawadi, Ahmedabad, Gujarat",380015,Ahmedabad,Gujrat,India,,,,,,23.0240809,72.5497721,GEOMETRIC_CENTER,NON NABH,,"ANJANA BELANI, 079 2644 6133    care@eyecarehospital.org",CGHS_hospitals,1,,23.0240809,72.5497721,"Dr. Rathod's EYE CARE HOSPITAL, Polytechnic Rd, behind IOC Petrol pump, Ambawadi, Ahmedabad, Gujarat, Ahmedabad, 380015",23.0240809,72.5497721,380015,"Eye Care Hospital Pvt. Ltd., Dr. Vikram Sarabhai Road, Ambawadi, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380015, India"
202,Amdavad Eye Laser Hospital Private Limited,"6-B,Devang Park, Panjarapole Cross Road, Ploytechnic, Ambawadi, Ahmedabad, Gujarat",380061,Ahmedabad,Gujrat,India,,,,,,23.02733522,72.54544372,GEOMETRIC_CENTER,NABH,,"DR TEJAS SHAH, 096248 96248    info@amdavadeyelaser.org",CGHS_hospitals,1,,23.02733522,72.54544372,"Amdavad Eye Laser Hospital Private Limited, 6-B,Devang Park, Panjarapole Cross Road, Ploytechnic, Ambawadi, Ahmedabad, Gujarat, Ahmedabad, 380061",23.0273235,72.5454578,380001,"Panjrapole, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
203,Centre for Sight,"ABC-1, Opp. Wagh Bakri Lounge, Chimanlal Girdharlal Rd, nr. St. Xavier's College Corner, Navrangpura, Ahmedabad, Gujarat",380009,Ahmedabad,Gujrat,India,,,,,,23.03294882,72.55557133,GEOMETRIC_CENTER,QCI,,"DR PRIYANK SHAH, 1800 120 0477   ",CGHS_hospitals,1,,23.03294881,72.55557133,"Centre for Sight, ABC-1, Opp. Wagh Bakri Lounge, Chimanlal Girdharlal Rd, nr. St. Xavier's College Corner, Navrangpura, Ahmedabad, Gujarat, Ahmedabad, 380009",23.0199442,72.5603501,380001,"Dr.Santosh C.Raibagkar, Surendra Mangaldas Road, Paldi, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
204,Occura Eye Care Hospital,"Rajpath Rangoli Rd, beside Pandit Dindayal Upadhyay Auditorium, PRL Colony, Bodakdev, Ahmedabad, Gujarat",380059,Ahmedabad,Gujrat,India,,,,,,23.0349251,72.5022528,GEOMETRIC_CENTER,NON NABH,,"MR HARI SHUKLA, hari.accura2gmail.com    9558832163",CGHS_hospitals,1,,23.0349251,72.5022528,"Occura Eye Care Hospital, Rajpath Rangoli Rd, beside Pandit Dindayal Upadhyay Auditorium, PRL Colony, Bodakdev, Ahmedabad, Gujarat, Ahmedabad, 380059",23.0349443,72.5023356,380059,"Occura Eye Care Hospital, Rajpath Rangoli Rd, beside Pandit Dindayal Upadhyay Auditorium, PRL Colony, Bodakdev, Ahmedabad, Gujarat, Ahmedabad, 380059"
205,KANBA HOSPITAL,"Kanba Hospital, Nikol, Ahmedabad, Gujarat",382410,Ahmedabad,Gujrat,India,,,,,,23.0351036,72.668432,GEOMETRIC_CENTER,NON NABH,,"MR JIGNESH PARMAR, 9722222424    tpacorporate@lakhani hospital.com",CGHS_hospitals,,,,,"KANBA HOSPITAL, Kanba Hospital, Nikol, Ahmedabad, Gujarat, Ahmedabad, 382410",23.0350752,72.6684487,380001,"Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
206,ASIAN BARIATRICS,"S/n. 235/2 Opp, Rajpath Club Road, Sarkhej - Gandhinagar Hwy, Bodakdev, Ahmedabad, Gujarat",380015,Ahmedabad,Gujrat,India,,,,,,23.036498,72.51152,GEOMETRIC_CENTER,NABH,,", Mr gaurang Rawal   businessdevelopment@asianbariatrics.com ",CGHS_hospitals,1,,23.036498,72.51152,"ASIAN BARIATRICS, S/n. 235/2 Opp, Rajpath Club Road, Sarkhej - Gandhinagar Hwy, Bodakdev, Ahmedabad, Gujarat, Ahmedabad, 380015",23.0365196,72.5115086,380054,"Nivesh Life, Service road - Sarkhej Gandhinagar Highway, Bodakdev, Daskroi Taluka, Ahmedabad District, Gujarat, 380054, India"
207,SAMVED ORTHOPEDIC HOSPITAL,"4th Floor, Samved Hospital, Near Sopan Flats, Navrangpura, Ahmedabad, Gujarat",380009,Ahmedabad,Gujrat,India,,,,,,23.0404741,72.558142,ROOFTOP,NABH,,"079-26562232, MR JINNAR SHAH     samvedortho@yahoo.com",CGHS_hospitals,1,,23.04047,72.558142,"SAMVED ORTHOPEDIC HOSPITAL, 4th Floor, Samved Hospital, Near Sopan Flats, Navrangpura, Ahmedabad, Gujarat, Ahmedabad, 380009",23.0405841,72.5581829,380009,"Samved Orthopaedic Hospital, Ahmedabad, Ishwar Bhuvan Road, Usmanpura, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380009, India"
208,APOLLO CVHF HEART INSTITUTE,"Next to I.O.C. petrol Pump, Opp. GNFC info tower, Pakwan Cross Road, Sarkhej - Gandhinagar Hwy, Bodakdev, Ahmedabad, Gujarat",380059,Ahmedabad,Gujrat,India,,,,,,23.0408547,72.5124007,GEOMETRIC_CENTER,NABH,,"RAJSHREE BHARDWAJ, 7202011197    GM.MARKETING@APOLLOCVHF.CO.IN",CGHS_hospitals,1,,23.0408547,72.5124,"APOLLO CVHF HEART INSTITUTE, Next to I.O.C. petrol Pump, Opp. GNFC info tower, Pakwan Cross Road, Sarkhej - Gandhinagar Hwy, Bodakdev, Ahmedabad, Gujarat, Ahmedabad, 380059",23.03952,72.517216,380054,"APOLLO CVHF HEART INSTITUTE, Next to I.O.C. petrol Pump, Opp. GNFC info tower, Pakwan Cross Road, Sarkhej - Gandhinagar Hwy, Bodakdev, Ahmedabad, Gujarat, Ahmedabad, 380059"
209,Tej Eye Center Ahmedabad,": Peoples Plaza, Vijay Cross Rd, near Manan Maruti Showroom, Navrangpura, Ahmedabad, Gujarat",380009,Ahmedabad,Gujrat,India,,,,,,23.043321,72.547628,ROOFTOP,NABH,,"MR JAGDISH GOSWAMI, : 097277 51120",CGHS_hospitals,1,,23.04332,72.547628,"Tej Eye Center Ahmedabad, : Peoples Plaza, Vijay Cross Rd, near Manan Maruti Showroom, Navrangpura, Ahmedabad, Gujarat, Ahmedabad, 380009",23.0434087,72.5476556,380001,"Drive-in Road, Memnagar, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
210,SANJEEVINI EYE HOSPITAL,"203,IIFloor, Satved Complax, Nr. Valu's Hospital, near Golden Triangle Complex Middle, Nathalal Colony, Navrangpura, Ahmedabad, Gujarat",380013,Ahmedabad,Gujrat,India,,,,,,23.0460004,72.5616955,GEOMETRIC_CENTER,QCI,,"DR RAJESH SHAH, 095104 46506   sanjeevivihospital@gmail.com",CGHS_hospitals,1,,23.0460004,72.5616955,"SANJEEVINI EYE HOSPITAL, 203,IIFloor, Satved Complax, Nr. Valu's Hospital, near Golden Triangle Complex Middle, Nathalal Colony, Navrangpura, Ahmedabad, Gujarat, Ahmedabad, 380013",23.0443635,72.5618432,380014,"Dr Pratap Desai Eye Clinic, Sardar Patel Stadium Road, Usmanpura, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380014, India"
211,VED SPECIALITY HOSPITAL,"P Mondeal Business Park Nr. Gurudwara, S.G. Highway, Thaltej, Ahmedabad, Gujarat",380054,Ahmedabad,Gujrat,India,,,,,,23.0461124,72.514228,GEOMETRIC_CENTER,NON NABH,,"DR MANISH RAVAL, 079 4002 2323    vedhospital14@yahoo.com",CGHS_hospitals,,,,,"VED SPECIALITY HOSPITAL, P Mondeal Business Park Nr. Gurudwara, S.G. Highway, Thaltej, Ahmedabad, Gujarat, Ahmedabad, 380054",23.0461407,72.5143433,380059,"VED SPECIALITY HOSPITAL, P Mondeal Business Park Nr. Gurudwara, S.G. Highway, Thaltej, Ahmedabad, Gujarat, Ahmedabad, 380054"
212,USMANPURA IMAGING CENTRE,"30, AMBIKA SOCIETY, OPP USMANPURA GARDENS, USMANPURA, AHMEDABAD.",,Ahmedabad,Gujrat,India,,,,,,23.0473107,72.5673832,GEOMETRIC_CENTER,NON NABL,,"AMIT GUPTA, 079-27552777     AMIT@MITUSHIHEALTHCARE.IN",CGHS_hospitals,0,,,,"USMANPURA IMAGING CENTRE, 30, AMBIKA SOCIETY, OPP USMANPURA GARDENS, USMANPURA, , Ahmedabad, 380013",23.0469063,72.5663855,380013,"USMANPURA IMAGING CENTRE,Ambica Society, 30, Vishwa Kosh Marg, Opposite Usmanpura Garden, Shanti Nagar, Usmanpura, Ahmedabad, Gujarat 380013"
213,SAL HOSPITAL AND MEDICAL INSTITUTE,"Doordarshan Tower, SAL Hospital Cross roads Opposite, Drive In Rd, Thaltej, Ahmedabad, Gujarat",380054,Ahmedabad,Gujrat,India,,,,,,23.049471,72.524174,ROOFTOP,NABH,,"079-66115600, ",CGHS_hospitals,,,,,"SAL HOSPITAL AND MEDICAL INSTITUTE, Doordarshan Tower, SAL Hospital Cross roads Opposite, Drive In Rd, Thaltej, Ahmedabad, Gujarat, Ahmedabad, 380054",23.0495241,72.5242733,380054,"Sal Hospital and Medical Institute, Satya Marg, Memnagar, Ahmedabad, Daskroi Taluka, Ahmedabad District, Gujarat, 380054, India"
214,INSTITUTE OF KIDNEY DISEASES AND RESEARCH CENTRE,"MEDICITY, CIVIL HOSPITAL CAMPUS , ASARWA- 380016",,Ahmedabad,Gujrat,India,,,,,,23.0501565,72.6017858,ROOFTOP,NON NABH,,"079-49017000, ",CGHS_hospitals,,Can't find exact location,,,"INSTITUTE OF KIDNEY DISEASES AND RESEARCH CENTRE, MEDICITY, CIVIL HOSPITAL CAMPUS , ASARWA- 380016, Ahmedabad, ",23.0502567,72.6015444,380016,"INSTITUTE OF KIDNEY DISEASES AND RESEARCH CENTRE 3J22+4J3, Chamanpura, Asarwa, Ahmedabad, Gujarat 380016"
215,UN MEHTA INSTITUTE CARDIOLOGY AND RERSEARCH CENTRE,"CIVIL HOSPITAL , ASARWA ,AHMEDABAD-",380016,Ahmedabad,Gujrat,India,,,,,,23.0524251,72.6011565,GEOMETRIC_CENTER,NABH,,"079-22684219, ",CGHS_hospitals,,,,,"UN MEHTA INSTITUTE CARDIOLOGY AND RERSEARCH CENTRE, CIVIL HOSPITAL , ASARWA ,AHMEDABAD-, Ahmedabad, 380016",23.0521413,72.6008985,380016,"UN MEHTA INSTITUTE CARDIOLOGY AND RERSEARCH CENTRE, CIVIL HOSPITAL , ASARWA ,AHMEDABAD-, Ahmedabad, 380016"
216,SHALBY HOSPITAL NARODA,"Haridarshan Cross Road, Kathwada Rd, Naroda, Ahmedabad, Gujarat",382325,Ahmedabad,Gujrat,India,,,,,,23.0693387,72.6735728,GEOMETRIC_CENTER,NABH/ NABL,,"MR SANJAY DABHI, 9512007061   info.naroda@shalby.org",CGHS_hospitals,,,,,"SHALBY HOSPITAL NARODA, Haridarshan Cross Road, Kathwada Rd, Naroda, Ahmedabad, Gujarat, Ahmedabad, 382325",23.0692981,72.6736604,380001,"Nava Naroda, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
217,HCG cancer hospital,"SSOLA SCIENCE CITY ROAD. NEAR SOLA BRIDGE, SG HIGHWAY, AHMEDABAD",380060,Ahmedabad,Gujrat,India,,,,,,23.0703982,72.5226867,ROOFTOP,NABH,,"7573005048    MR SANDEEP SHAH, sandit.shah@hcghospitals.in",CGHS_hospitals,1,,23.07039,72.52268,"HCG cancer hospital, SSOLA SCIENCE CITY ROAD. NEAR SOLA BRIDGE, SG HIGHWAY, AHMEDABAD, Ahmedabad, 380060",23.0704263,72.5226954,380060,"HCG cancer hospital, SSOLA SCIENCE CITY ROAD. NEAR SOLA BRIDGE, SG HIGHWAY, AHMEDABAD, Ahmedabad, 380060"
218,TRISHA MULTISPECIALITY HOSPITAL,"6-7 th floor, Dream Square Complex, Nirnay Nagar, Ahmedabad, Gujarat",380013,Ahmedabad,Gujrat,India,,,,,,23.0708787,72.5597895,GEOMETRIC_CENTER,NABH,,"HITESH PANCHAL,  9426517989     cashless@trishahospital.com",CGHS_hospitals,1,,23.0708787,72.5597895,"TRISHA MULTISPECIALITY HOSPITAL, 6-7 th floor, Dream Square Complex, Nirnay Nagar, Ahmedabad, Gujarat, Ahmedabad, 380013",23.0709735,72.5598622,380001,"Nava-Vadaj, Ahmedabad, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
219,SALVUS BIOSEARCH,"207-210, EARTH CIRCLE, SCIENCE CITY CENTRE, AH,EDABAD-380060",,Ahmedabad,Gujrat,India,,,,,,23.0799211,72.4935889,GEOMETRIC_CENTER,NABL,,"GARGI LADIA, 9327014311    gargi@salvusglobal.com",CGHS_hospitals,,,,,"SALVUS BIOSEARCH, 207-210, EARTH CIRCLE, SCIENCE CITY CENTRE, AH,EDABAD-380060, Ahmedabad, ",23.0211594,72.5536477,380058,"SALVUS BIOSEARCH 12A-17, Ground Floor
SOUTH BOPAL TRADE CENTRE (SBTC)
Gala Gymkhana Road
South Bopal
Ahmedabad - 380058"
220,APOLLO HOSPITAL,PLOT NO 1 BHAT ESTATE GIDCE ESTATE DISTRICT GANDHINAGAR -,382428,Ahmedabad,Gujrat,India,,,,,,23.1095502,72.6263885,ROOFTOP,NABH,,"7966701800, ",CGHS_hospitals,1,,23.10955,72.6263885,"APOLLO HOSPITAL, PLOT NO 1 BHAT ESTATE GIDCE ESTATE DISTRICT GANDHINAGAR -, Ahmedabad, 382428",23.1077747,72.6397984,382428,"APOLLO HOSPITAL, PLOT NO 1 BHAT ESTATE GIDCE ESTATE DISTRICT GANDHINAGAR -, Ahmedabad, 382428"
221,Batalia Eye Hospital,"Dr.Batalia Road, near Taiyebali petrol pump, Jabalpur, Madhya Pradesh",482001,Jabalpur,Madhya Pradesh,India,,,,,,23.1538716,79.9524576,GEOMETRIC_CENTER,"NABH
 Valid from
 29.04.2019
 Upto
 28.04.2022","Recommended for :
 Cataract/Glaucoma, Retinal Services-Medical, Occuloplasty & Adnexa,
 Strabismus
 Not Recommended for:
 Retinal Services- Surgical and Cornea.","Shri Hemant Batalia
 â€“ 9406761786
 
 Shri Naveen Rurayia
 â€“ 7225979099",CGHS_hospitals,1,,23.153871,79.9524,"Batalia Eye Hospital, Dr.Batalia Road, near Taiyebali petrol pump, Jabalpur, Madhya Pradesh, Jabalpur, 482001",23.1671021,79.9394713,482001,"Dr Barat Road, Jabalpur, Ranjhi Tahsil, Jabalpur District, Madhya Pradesh, 482001, India"
222,"Dr.C.R.
 Bhandari
 Memorial
 Hospital
 (Unit of Bhandari
 PolyclinicPvt.
 Ltd)","RB-II 431/3, NH30, Howbag Railway Colony, Nehru Railway Colony, Gorakhpur, Jabalpur, Madhya Pradesh, 482001",482001,Jabalpur,Madhya Pradesh,India,,,,,,23.1543521,79.9374652,ROOFTOP,Non-NABH,"Anaesthesiology, Emergency Medicine, General Medicine, General
 Surgery,OrthopaedicSurgery(excludingJointReplacement),
 Otorhinolaryngology,Cardiology,CriticalCare,Plastic&
 Reconstructive Surgery.
 Not Recommended for: Neuro Surgery.","ShriSubhashChandra
 Ã¢â‚¬â€œ 9329738327-
 
 
 Shri Ashish Chourasiya
 Ã¢â‚¬â€œ 9425323711",CGHS_hospitals,1,,23.15435,79.9374652,"Dr.C.R.
 Bhandari
 Memorial
 Hospital
 (Unit of Bhandari
 PolyclinicPvt.
 Ltd), RB-II 431/3, NH30, Howbag Railway Colony, Nehru Railway Colony, Gorakhpur, Jabalpur, Madhya Pradesh 482001",23.154375,79.937475,481892,"Dr.C.R. Bhandari Memorial Hospital (Unit of Bhandari PolyclinicPvt. Ltd), RB-II 431/3, NH30, Howbag Railway Colony, Nehru Railway Colony, Gorakhpur, Jabalpur, Madhya Pradesh 482001"
223,"Best Super-
 Speciality
 Hospital","1352, Home Science College Rd, near Ashish Hospital, Napier Town, Jabalpur, Madhya Pradesh",482001,Jabalpur,Madhya Pradesh,India,,,,,,23.1601718,79.9231365,ROOFTOP,NON-NABH,"Anaesthesiology,Dermatology&Venereology,Dentistry,
 EmergencyMedicine,FamilyMedicine,GeneralMedicine,
 Geriatrics,GeneralSurgery,ObstetricsandGynaecology,
 Opththalmology,OrthopaedicSurgery(excludingJoint
 Replacement),Otorhinolaryngology,Paediatrics,Psychiatry,
 Respiratory Medicine, Day Care Services, Cardiology, Critical
 Care,MedicalGastroenterology,Neurology,Neurosurgery,
 Oncology-(Medical,Surgical&Gynaecological), Plastic and
 ReconstructiveSurgery,SurgicalGastroenterology,Urology
 (includingdialysisandlithotripsy),Transplantation
 Service(Only hair)
 
 Not Recommended for:-
 Clinical Hematology, Neonatology, Nephrology.","1.Mr.MovinPareira-
 8349845828
 
 
 2.Mr.RajendraRajak-
 9827363500",CGHS_hospitals,1,,23.1601718,79.92313,"Best Super-
 Speciality
 Hospital, 1352, Home Science College Rd, near Ashish Hospital, Napier Town, Jabalpur, Madhya Pradesh, Jabalpur, 482001",23.1601718,79.9231365,482001,"Best Super Speciality Hospital, NH45, Jabalpur, GorakhpurTahsil, Jabalpur District, Madhya Pradesh, 482001, India"
224,"Aditya Super
 Speciality
 Hospital &
 Trauma Centre","Napier Town, opposite little kingdom School, near to home Science College road, Jabalpur, Madhya Pradesh",482002,Jabalpur,Madhya Pradesh,India,,,,,,23.160796,79.928634,0,"NABH
 
 Wef
 27.10.2018
 To
 26.10.2021","Anaesthesiology,DermatologyandVenerelogy,BariatricSurgery,
 Burs, Emergency Medicines, Family Medicine, General Medicine,
 GeneralSurgeryObst.AndGynaecology,Ophthalmology,
 OrthopaedicSurgery(includingJointReplacement),
 Otorhinolaryngology,Psychiatry,RespiratoryMedicine,Sports
 Medicine,Daycareservices,Cardiology,ClinicalHaematology,
 CriticalCare,Hepato-PancreatoBiliarySurgery,Neurology,
 Neurology,Neurosurgery,MedicalOncology,SurgicalOncology,
 PlasticandReconstructiveSurgery,Rheumatology,Surgical
 Gastroenterology.","Mr. Sourabh Upadhyay
 9755611777,
 8871557707
 
 Mr.ManoharSingh
 Patel
 9907390738",CGHS_hospitals,1,,23.160796,79.928634,"Aditya Super
 Speciality
 Hospital &
 Trauma Centre, Napier Town, opposite little kingdom School, near to home Science College road, Jabalpur, Madhya Pradesh, Jabalpur, 482002",23.1606231,79.9286051,482001,"Aditya Superspeciality Hospital and Trauma Centre, NH45, Jabalpur, Adhartal Tahsil, Jabalpur District, Madhya Pradesh, 482001, India"
225,"Contacare Eye
 Hospital (A Unit of
 Contacare
 Ophthalics Pvt. Ltd)","Maharshi Dayanand Saraswati Chowk, Napier Town, Jabalpur, Madhya Pradesh",482002,Jabalpur,Madhya Pradesh,India,,,,,,23.162105,79.9362778,ROOFTOP,"Non-
 NABH","A) Gen.Ophthalmology Services
 B) Specilised Services â€“
 a) Cataract/Glaucoma
 b) Retina-Medical/Surgical
 c) Cornea(excluding cornea transplant)
 d) Occuloplasty & Adnexa
 Not recommended for â€“ a) Strabismus.","Ms. Bhawna Dwivedi
 â€“9324942429
 
 Mr.Om Prakash Patel
 -9324942428",CGHS_hospitals,1,,23.162105,79.9362778,"Contacare Eye
 Hospital (A Unit of
 Contacare
 Ophthalics Pvt. Ltd), Maharshi Dayanand Saraswati Chowk, Napier Town, Jabalpur, Madhya Pradesh, Jabalpur, 482002",23.1599217,79.9300962,482001,"Jabalpur, Adhartal Tahsil, Jabalpur District, Madhya Pradesh, 482001, India"
226,Ashish Hospital,"Home Science College Rd, Napier Town, Jabalpur, Madhya Pradesh",482002,Jabalpur,Madhya Pradesh,India,,,,,,23.16022953,79.9240231,GEOMETRIC_CENTER,NON-NABH,"Recommended for :Anaesthesiology, Dermatology and Venereology,
 Dentistry, Burns, Emergency Medicine, Family Medicine, General
 Medicine, Geriatrics, General Surgery, Obst. And Gynaecology,
 Ophthalmology, Orthopaedic Surgery (including Joint replacement),
 Otorhinolaryngology, Paediatrics, Psychiatry, Respiratory Medicine, D
 Care Services,Cardiac Anaesthesia, Cardiology, Cardio thoracic surger
 Critical Care, Medical Gastroenterology, Neonatology, Nephrology,
 Neurology, Neuro Surgery, Medical Oncology, Surgical Oncology,
 Gynaecological Oncology, Paediatric Surgery, Plastic & Reconstructiv
 Surgery Surgical Gastroenterology Urology (incl. dialysis& lithotripsy
 Vascular Surgery.","ShriDhirajSinghâ€“
 7389716833
 
 
 ShriPradeepSingh â€“
 9713232888",CGHS_hospitals,1,,23.160229,79.924023,"Ashish Hospital, Home Science College Rd, Napier Town, Jabalpur, Madhya Pradesh, Jabalpur, 482002",23.1601767,79.924025,482001,"Aashish Hospital, NH45, Jabalpur, Adhartal Tahsil, Jabalpur District, Madhya Pradesh, 482001, India"
227,"Marble City
 Hospital &
 Research Centre","No. 321, Parsi Anjuman Complex, Bhanwartal Extension, Napier Town, near Museum, Jabalpur, Madhya Pradesh",482001,Jabalpur,Madhya Pradesh,India,,,,,,23.1633579,79.9354791,GEOMETRIC_CENTER,NON-NABH,"Recommended for :
 Anaesthesiology,DermatologyandVenereology,Dentistry,
 Emergency Medicine, Family Medicine, General Medicine, General
 Surgery,Obstetrics&Gynaecology,Ophthalmology,Orthopaedic
 Surgery(includingJointreplacement)Otorhinolaryngology,
 Paediatrics,RespiratoryMedicine,SportsMedicine,DayCare
 Services,Criticalcare,Endocrinology,Immunology,Medical
 Gastroenterology,Neonatology,Nephrology,Neurology,Neuro
 Surgery,MedicalOncology,SurgicalOncology,Gynaecological
 Oncology,Plastic&ReconstructiveSurgery,Surgical
 Gastroenterology, Urology incl. (Dialysis & litotripsy) & Vascular
 Surgery.
 Cardiac Anaesthesia, Cardiology & Cardiothoracic Surgery","ShriSuryaNarayan
 Pillai â€“ 9827518214
 
 
 
 ShriSidharthRamteke
 â€“ 9329988933",CGHS_hospitals,1,,23.1633579,79.9354791,"Marble City
 Hospital &
 Research Centre, No. 321, Parsi Anjuman Complex, Bhanwartal Extension, Napier Town, near Museum, Jabalpur, Madhya Pradesh, Jabalpur, 482001",23.1599217,79.9300962,482001,"Jabalpur, Adhartal Tahsil, Jabalpur District, Madhya Pradesh, 482001, India"
228,Delhi MRI Centre,"2243, Near Prem
 Mandir Wright
 Town Jabalpur
 Tel. No. 0761-
 4017878, 4015868",,Jabalpur,Madhya Pradesh,India,,,,,,23.1636548,79.9246019,GEOMETRIC_CENTER,"Non-
 NABH","Nuclear Medicine (osteology, neurosciences, gastro & hepato biliary,
 genitor urinary, endocrinology, radio isotope therapy, stress/rest
 thallium)","Miss Usha Singh-
 07614017878",CGHS_hospitals,0,,,,"Delhi MRI Centre, 2243, Near Prem
 Mandir Wright
 Town Jabalpur
 Tel. No. 0761-
 4017878, 4015868, Jabalpur, ",23.1636548,79.9246019,482001,"Jabalpur, Adhartal Tahsil, Jabalpur District, Madhya Pradesh, 482001, India"
