Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude,Postcode_py,address_py,Manual Score,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance,BWTRLENCD Distance,Monge Elkan Distance*10,Auto Score
252,"Purvanchal Netralaya Retina Care Center,","C-21/1-41, Lajpat Nagar Maldahiya Crossing, Varanasi",221001,Varanasi,Uttar Pradesh,India,,,,,,25.3239764,82.992631,GEOMETRIC_CENTER,,"General Services Specialised Services: Cataract/Glaucoma, Retina â€“ Medical/Surgical, Cornea, Occuloplasty & Adnexa, Strabismus",1. Dr. Akhilesh Kumar (9935780022) 2. Mr. Jyoti Kumar Srivastava(9455152694) Mail id. 1. dr.akhil1@yahoo.com,CGHS_hospitals,1,,25.3239764,82.992631,"Purvanchal Netralaya Retina Care Center,, C-21/1-41, Lajpat Nagar Maldahiya Crossing, Varanasi, Varanasi, 221001",25.3230513,82.9931799,221001,"Cantonment, Varanasi, Sadar, Varanasi District, Uttar Pradesh, 221001, India",,0.25,0.639249333,0.553719008,0.726204599,0.003667092,0.207920792,0.036670918,0.559841571
253,"Mahashweta Hospital Pvt. Ltd,","Maqbool Alam Rd, near Oriental Bank, Chaukaghat, Varanasi, Uttar Pradesh",221001,Varanasi,Uttar Pradesh,India,,,,,,25.340118,82.992042,GEOMETRIC_CENTER,,"Clinical Services â€“Anesthesiology, Emergency Medicine, General medicine , General Surgery (Including Laparoscopy), Otorhinolaryngology, Obstetrics & Gynecology, Orthopedic Surgery, Pediatrics, Respiratory Medicine, Critical care, Medical Gastroenterology, Nephrology, Neurology, Oncology (Medical), Plastic and Diagnostic Services â€“ Ultrasound, X-Ray, ECG Laboratory Services â€“ Clinical Pathology. Pharmacy â€“ Dispensary. Professions Allied to Medicine â€“ Ambulance, Dietetics, Physiotherapy Clinical Services  Cardiology, Dermatology and Venereology, Emergency Medicine, General Medicine, General Surgery, Laparoscopic Surgery, Medical Gastroenterology, Nephrology, Neurology, Neurosurgery,Obstetrics and Gynecology, Oncology (Medical & Surgical), Otorhinolaryngology ENT), Paediatrics, Plastic and Reconstructive Surgery, Psychiatry, Respiratory Medicine, Urology. Diagnostic Services 2D Echo, CT Scanning, ECG, EEG, Holter Monitoring, Mammography, MRI, Tread Mill Testing, Ultrasound, X-Ray",,CGHS_hospitals,1,,25.340118,82.992042,"Mahashweta Hospital Pvt. Ltd,, Maqbool Alam Rd, near Oriental Bank, Chaukaghat, Varanasi, Uttar Pradesh, Varanasi, 221001",25.340849,82.9923808,221002,"Cantonment, Varanasi, Sadar, Varanasi District, Uttar Pradesh, 221002, India",,0.314049587,0.652562005,0.5390625,0.719531165,0.003380917,0.179245283,0.033809166,0.573584226
254,"Shubham Hospital,","S-8/108-F-5A Maqbool Alam Road, Sudhakar Rd, Near Laxmi Memorial Children's Hospital, Varanasi, Uttar Pradesh",221002,Varanasi,Uttar Pradesh,India,,,,,,25.34389119,82.98819271,GEOMETRIC_CENTER,,"Anaesthesiology, Cardiologym, Cardiothoracic Surgery,Cosmetic/Plastic Surgery, Critical Care, Dental Clinical Services Services, Emergency Medicine, ENT, General Medicine, General Surgery, Nephrology Neuro Surgery, Neurology, Ophthalmology, Orthopaedic Surgery, Orthopedics, Paediatric, Respiratory Medicine, Urology Diagnostic Services 2D Echo, CT Scanning, DSA Lab, EEG, Holter Monitoring, Spirometry, Tread Meal Testing, Ultrasound, X- Ray Laboratory Services Clinical Bio-Chemistry, Clinical Microbiology and Serology, Clinical Pathology, Haematology Pharmacy Dispensary","Mr. Bhupendra Pandey(7860828384) Email-id 1.
 shubhamkhajuri@gmail.com
 Dr. Naveen Kumar Singh(9415990143)",CGHS_hospitals,1,,25.34389119,82.98819271,"Shubham Hospital,, S-8/108-F-5A Maqbool Alam Road, Sudhakar Rd, Near Laxmi Memorial Children's Hospital, Varanasi, Uttar Pradesh, Varanasi, 221002",25.340818,82.99225,221002,"Cantonment, Varanasi, Sadar, Varanasi District, Uttar Pradesh, 221002, India",,0.287671233,0.592605616,0.441558442,0.645543762,0.002627135,0.151515152,0.026271345,0.524788512
255,"Hari Bandhu Hospital Pvt. Ltd.,","Ashok Vihar Road, Panchkroshi Chauraha, Paigamberpur, Varanasi, Uttar Pradesh",221007,Varanasi,Uttar Pradesh,India,,,,,,25.35016928,83.02265633,GEOMETRIC_CENTER,,"Obstetrics & Gynecology, Ophthalmology, Orthopedic Surgery, Otorhinolaryngology, Pediatrics, Plastic and Reconstructive Surgery. Pharmacy, Dispensary Laboratory Services , Clinical Pathology. Emergency Medicine, General medicine , General Surgery, Neurosurgery,",1. Dr. S. N. Yadav (9415085373) 2. Mr. Akhilesh Ku. Yadav(9838981139) 1. haribandhuhospital@gmail.com,CGHS_hospitals,1,,25.35016928,83.02265633,"Hari Bandhu Hospital Pvt. Ltd.,, Ashok Vihar Road, Panchkroshi Chauraha, Paigamberpur, Varanasi, Uttar Pradesh, Varanasi, 221007",25.3542689,83.0237789,221007,"Pilokothi, Varanasi, Sadar, Varanasi District, Uttar Pradesh, 221007, India",,0.296875,0.683425926,0.549618321,0.734846923,0.003356934,0.228070175,0.033569336,0.589675527
256,"Super speciality dental centre,","SH1/142 D, Narayanpur panch koshi road, Gilat Bazar, Varanasi",,Varanasi,Uttar Pradesh,India,,,,,,25.3534583,82.9684406,ROOFTOP,,"General Dental Services, Specialised Dental Services: Oral and Maxillo Facial Surgery, Periodontia, Prosthodontia, Endodontia, Orthodontia, Paedodontia",Dr. Deepti Rai (7739358566) Email-id 1. superspecialty2019@gmail.com2. drpiyushsharma05@gmail.com,CGHS_hospitals,0,,,,"Super speciality dental centre,, SH1/142 D, Narayanpur panch koshi road, Gilat Bazar, Varanasi, Varanasi, ",25.3506756,82.9669579,221003,"Varanasi, Sadar, Varanasi District, Uttar Pradesh, 221003, India",,0.245283019,0.613842525,0.49122807,0.679900104,0.003782485,0.163265306,0.037824849,0.530974009
257,"HOSPITAL AKSHAYVAT, ","Unnamed Road, A. D. A. Colony, Triveni Nagar, Prayagraj, Uttar Pradesh",211105,Allahabad,Uttar Pradesh,India,,,,,,25.38491636,81.87398267,ROOFTOP,,"ANAESTHESIOLOGY,GENERAL REPLACEMENT),PAEDIATRICS,
 CRITICAL CARE(COMMON ICU),
 NEUROSURGERY,UROLOGY
 (EXCLUDINGDIALYSIS&
 LITHOTRIPSY)
 MEDICINE, GENERAL SURGERY,
 OBSTETRICSAND
 GYNAECOLOGY,
 OPHTHALMOLOGY,
 ORTHOPAEDICSURGERY
 (EXCLUDINGJOINT","1.
 9838807333
 2.
 9984588076",CGHS_hospitals,1,,25.38491636,81.87398267,"HOSPITAL AKSHAYVAT, , Unnamed Road, A. D. A. Colony, Triveni Nagar, Prayagraj, Uttar Pradesh, Allahabad, 211105",25.3852446,81.8740653,211108,"ADA Colony, Naini, Karchhana, Prayagraj District, Uttar Pradesh, 211108, India",,0.306306306,0.647331947,0.549180328,0.720055566,0.003733463,0.047619048,0.037334632,0.545991678
258,"SHIVAM AKSHAYVAT MULTISCPECIALITY
 HOSPITAL & TRAUMA CENTRE","Ground, Udyog Nagar, ADA Rd, Naini, Prayagraj, Uttar Pradesh",211105,Allahabad,Uttar Pradesh,India,,,,,,25.385282,81.87405646,GEOMETRIC_CENTER,,"ANAESTHESIOLOGY,
 DERMATOLOGYAND
 VENEREOLOGY,DENTISTRY,
 BURNS, EMERGENCY MEDICINE
 GENERALMEDICINE,GENERAL
 SURGERY,OBSTETRICSAND
 GYNECOLOGY,ORTHOPEDIC
 SURGERY(EXCLUDINGJOINT
 REPLACEMENT),DAYCARE
 SERVICES,CRITICALCARE:
 COMMONICU,,PLASTICAND
 RECONSTRUCTIVESURGERY,
 SURGICAL
 GASTROENTEROLOGY.","1.
 9565353008
 2.
 9839909264",CGHS_hospitals,1,,25.385282,81.87405646,"SHIVAM AKSHAYVAT MULTISCPECIALITY
 HOSPITAL & TRAUMA CENTRE, Ground, Udyog Nagar, ADA Rd, Naini, Prayagraj, Uttar Pradesh, Allahabad, 211105",25.3853968,81.8695578,211108,"ADA Colony, Naini, Karchhana, Prayagraj District, Uttar Pradesh, 211108, India",,0.257142857,0.600748356,0.424836601,0.622016689,0.002653061,0.028776978,0.026530612,0.491795474
259,"JEEVAN JYOTI HOSPITAL
 ","162, Lowther Rd, Himmat Ganj, Bai Ka Bagh, Prayagraj, Uttar Pradesh",211003,Allahabad,Uttar Pradesh,India,,,,,,25.4363365,81.84658981,ROOFTOP,,"GENERALPURPOSE,,
 NEPHROLOGYINCLUDING
 DIALYSIS,ORTHOPAEDIC
 SURGERYINCLUDINGJOINT
 REPLACEMENT,ENDOSCOPIC
 SURGERY,NEUROSURGERY
 ,OPHTHALMICPURPOSE
 DENTALPURPOSE.PLASTIC
 SURGERY,PEDIATRIC SURGERY,
 OBSTETRICS
 &GYNAECOLOGY,PEDIATRIC
 &NEONATOLOGY,CARDIOLOGY,
 TRAUMACENTER,ENT,SKIN
 AND VD, & PHYSIOTHEREPY.","1.
 9 565353008
 2.
 9451372830",CGHS_hospitals,1,,25.4363365,81.84658981,"JEEVAN JYOTI HOSPITAL
 , 162, Lowther Rd, Himmat Ganj, Bai Ka Bagh, Prayagraj, Uttar Pradesh, Allahabad, 211003",25.4363194,81.8465814,211003,"Jeevan Jyoti Hospital, Allahabad, Grand Trunk Road, Chowk, Prayagraj, Prayagraj District, Uttar Pradesh, 211003, India",,0.322033898,0.645395607,0.579310345,0.733967438,0.003814625,0.12037037,0.038146254,0.569383035
261,"EYE CLINIC
","77C/90C, Zero Road, Beside Roadways Bus Stand, Prayagraj, Uttar Pradesh",211003,Allahabad,Uttar Pradesh,India,,,,,,25.43847371,81.83936615,GEOMETRIC_CENTER,,"FOR OPHTHALMIC PURPOSE
 (EXCLUDING POSTERIOR
 SEGMENT SURGERY)","1 .
 9935203697",CGHS_hospitals,1,,25.4384737,81.83936615,"EYE CLINIC
, 77C/90C, Zero Road, Beside Roadways Bus Stand, Prayagraj, Uttar Pradesh, Allahabad, 211003",25.4389817,81.8391939,211001,"Zero Road Bus Stand, Zero Road, Chowk, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.378640777,0.701493991,0.647540984,0.786312973,0.004147422,0.239583333,0.04147422,0.638015676
262,"MAA SHARDA HOSPITAL,
 ","84/70, Grand Trunk Rd, Opposite Police Chowki, New Bairahana, Prayagraj, Uttar Pradesh",211003,Allahabad,Uttar Pradesh,India,,,,,,25.43950061,81.85730369,ROOFTOP,,"CLINICAL SERVICES
 GENERALMEDICINE,GENERAL
 SURGERY,OBSTETRICSAND
 GYNECOLOGY,
 OPHTHALMOLOGY,
 ORTHOPAEDICSURGERY,
 OTORHINOLARYNGOLOGY,
 PAEDIATRICS,CRITICALCARE,
 NEONATOLOGY,NEUROLOGY,
 NEUROSURGERY,
 PAEDIATRIC SURGERY, PLASTIC
 ANDRECONSTRUCTIVE
 SURGERY
 DIAGNOSTIC SERVICES
 ULTRASOUND, X-RAY
 LABORATORY SERVICES
 CLINICALBIO-CHEMISTRY,
 CLINICALPATHOLOGY,
 HAEMATOLOGY,
 PHARMACY
 DISPENSARY
 PROFESSIONSALLIEDTO","1.
 9415284927
 2.
 9415612881",CGHS_hospitals,1,,25.43950061,81.8573036,"MAA SHARDA HOSPITAL,
 , 84/70, Grand Trunk Rd, Opposite Police Chowki, New Bairahana, Prayagraj, Uttar Pradesh, Allahabad, 211003",25.4376918,81.8530356,211001,"Bairhana, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.240310078,0.581668797,0.466666667,0.667761151,0.002644072,0.086614173,0.026440719,0.499896028
265,"DAYAL NURSING HOME & MATERNITY
 HOME, ","Mundera Bazar, Ghayasuddinpur, Prayagraj, Uttar Pradesh",211003,Allahabad,Uttar Pradesh,India,,,,,,25.44949926,81.76208286,GEOMETRIC_CENTER,,"ANAESTHESIOLOGY,GENERAL
 MEDICINE, GENERAL SURGERY,
 OBSTETRICSAND
 GYNAECOLOGYANDCRITICAL
 CARE.THEHOSPITALIS
 ADVISEDTOENSURETHE
 EXTERNALQUALITY
 ASSURANCEOFITS
 LABORATORY RESULTS","1.
 9415253814
 2.
 9621055125",CGHS_hospitals,1,,25.44949,81.76208286,"DAYAL NURSING HOME & MATERNITY
 HOME, , Mundera Bazar, Ghayasuddinpur, Prayagraj, Uttar Pradesh, Allahabad, 211003",25.4494867,81.7620704,211011,"Dayal Nursing Home and Maternity Home, Grand Trunk Road, Bamrauli, Prayagraj, Prayagraj District, Uttar Pradesh, 211011, India",,0.357142857,0.641391674,0.518987342,0.684189105,0.003654971,0.088495575,0.036549708,0.561041527
266,"NARAYAN SWAROOP HOSPITAL,
 ","408, A, Neem Sarai, Mundera Mandi, Dhoomanganj, Prayagraj, Uttar Pradesh",211011,Allahabad,Uttar Pradesh,India,,,,,,25.44996785,81.76416741,GEOMETRIC_CENTER,,"ANAESTHESIOLOGY,
 DERMATOLOGY&
 VENEREOLOGY,EMERGENCY
 MEDICINE, GENERAL MEDICINE,
 FAMILYMEDICINE,GENERAL
 SURGERY,OBSTETRICSAND
 GYNAECOLOGY,
 OPHTHALMOLOGY,
 ORTHOPAEDIC
 SURGERY(INCLUDINGJOINT
 REPLACEMENT),
 OTORHINOLARYNGOLOGY,
 PAEDIATRICS,PSYCHIATRY,
 RESPIRATORYMEDICINE,DAY
 CARE SERVICES, CARDIOLOGY,
 CRITICALCARE,MEDICAL
 GASTROENTEROLOGY,
 NEONATOLOGY,NEPHROLOGY,
 NEUROLOGY,NEUROSURGERY,
 ONCOLOGY(SURGICAL),,
 PLASTICAND
 RECONSTRUCTIVESURGERY,,
 UROLOGY(INCLUDING
 DIALYSIS AND LITHOTRIPSY)","1.
 9336304050
 2.
 9335626524",CGHS_hospitals,1,,25.44996785,81.76416741,"NARAYAN SWAROOP HOSPITAL,
 , 408, A, Neem Sarai, Mundera Mandi, Dhoomanganj, Prayagraj, Uttar Pradesh, Allahabad, 211011",25.446752,81.7602624,211001,"Harwara, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.275,0.623585756,0.446153846,0.642070792,0.002951389,0.103448276,0.029513889,0.522316916
268,D R S HOSPITAL,"H1, Dharambir Marg, Sector 5, Transport Nagar, Dhoomanganj, Prayagraj, Uttar Pradesh",211011,Allahabad,Uttar Pradesh,India,,,,,,25.45043466,81.76662433,ROOFTOP,,"ANAESTHESIOLOGY, DIALYSIS AND LITHOTRIPSY)
 EMERGENCYMEDICINE,
 FAMILYMEDICINE,GENERAL
 MEDICINE, GENERAL SURGERY,
 OBSTETRICSAND
 GYNAECOLOGY,ORTHOPAEDIC
 SURGERY(INCLUDINGJOINT
 REPLACEMENT) , RESPIRATORY
 MEDICINE,DAYCARE
 SERVICES,CRITICALCARE,
 NEUROLOGY,NEUROSURGERY,
 PLASTICAND
 RECONSTRUCTIVESURGERY,
 UROLOGY(INCLUDING","1.
 9415235078
 2.
 9451183061",CGHS_hospitals,1,,25.45043466,81.7666243,"D R S HOSPITAL, H1, Dharambir Marg, Sector 5, Transport Nagar, Dhoomanganj, Prayagraj, Uttar Pradesh, Allahabad, 211011",25.4503535,81.7667009,211011,"Drs Hospital, Grand Trunk Road, Bamrauli, Prayagraj, Prayagraj District, Uttar Pradesh, 211011, India",,0.344537815,0.69517541,0.641791045,0.784448223,0.003777982,0.108108108,0.037779818,0.599640419
269,SRIJAN VATSALYA HOSPITAL PVT. LTD.,"8, 1/6, Elgin Rd, Civil Lines, Prayagraj, Uttar Pradesh",211001,Allahabad,Uttar Pradesh,India,,,,,,25.45168042,81.84269177,ROOFTOP,,"ANAESTHESIOLOGY,
 DENTISTRY,BURNS,FAMILY
 MEDICINE,EMERGENCY
 MEDICINE, GENERAL MEDICINE,
 GENERALSURGERY,
 OBSTETRICSAND
 GYNAECOLOGY,
 OPHTHALMOLOGY,
 ORTHOPAEDICSURGERY
 (INCLUDINGJOINT
 REPLACEMENT),PAEDIATRICS,
 RESPIRATORYMEDICINE,DAY
 CARESERVICES,CRITICAL
 CARE,MEDICAL
 GASTROENTEROLOGY,
 NEONATOLOGY,NEPHROLOGY,
 NEUROLOGY,NEUROSURGERY,
 PAEDIATRIC
 GASTROENTEROLOGY,
 PAEDIATRIC SURGERY, PLASTIC
 ANDRECONSTRUCTIVE
 SURGERY,SURGICAL
 GASTROENTEROLOGY,
 UROLOGY(INCLUDING
 DIALYSIS AND LITHOTRIPSY).","1.
 9 7 2 1 8 13282
 2.
 9415305088",CGHS_hospitals,1,,25.45168,81.84269,"SRIJAN VATSALYA HOSPITAL PVT. LTD., 8, 1/6, Elgin Rd, Civil Lines, Prayagraj, Uttar Pradesh, Allahabad, 211001",25.4538547,81.8292529,211001,"Civil Lines, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.272727273,0.632726987,0.491803279,0.674199862,0.003347107,0.141509434,0.033471074,0.540155912
271,"SARSWATI HEART CARE & RESEARCH
 CENTRE (P). LTD.","Plot No 2 & 3, CY Chintamani Rd, Prayagraj, Uttar Pradesh",211002,Allahabad,Uttar Pradesh,India,,,,,,25.45305734,81.85334049,ROOFTOP,,"CARDIODIAGNOSTIC
 PROCEDURES,
 CARDIOVASCULARAND
 CARDIO-THORACIC SURGERY","1.
 9415216485
 2.
 8400333516",CGHS_hospitals,1,,25.45305734,81.85334049,"SARSWATI HEART CARE & RESEARCH
 CENTRE (P). LTD., Plot No 2 & 3, CY Chintamani Rd, Prayagraj, Uttar Pradesh, Allahabad, 211002",25.4534507,81.8532008,211001,"Motilal Nehru Medical College, CY Chintamani Road, George Town, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.253968254,0.576489381,0.456140351,0.626551501,0.00308642,0.073170732,0.030864198,0.497817198
273,SHAKUNTALA HOSPITAL,"5/3-b, Tashkent Marg, Civil Lines, Prayagraj, Uttar Pradesh",211007,Allahabad,Uttar Pradesh,India,,,,,,25.45369753,81.84264341,ROOFTOP,,"GENERALPURPOSE,
 LITHOTRIPSY,E.N.T.,
 ENDOSCOPICSURGERY,
 LAPAROSCOPYSURGERY,
 ORTHOPEDIC INCLUDING JOINT
 REPLACEMENT,
 NEUROSURGERY,GASTROENTEROLOGY, OBST. &
 GYAEC.,NEUROSURGERYAND
 GENERAL PURPOSE.","1.
 9415516165
 2.
 9415266385",CGHS_hospitals,1,,25.45369752,81.84264341,"SHAKUNTALA HOSPITAL, 5/3-b, Tashkent Marg, Civil Lines, Prayagraj, Uttar Pradesh, Allahabad, 211007",25.4540641,81.8432347,211001,"Civil Lines, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.292929293,0.657575758,0.554545455,0.722513539,0.00382614,0.147368421,0.038261402,0.565885749
274,"PARVATI HOSPITAL
","126, 50-A, Jawaharlal Nehru Rd, Tagore Town, Prayagraj, Uttar Pradesh",211002,Allahabad,Uttar Pradesh,India,,,,,,25.45418212,81.86135473,ROOFTOP,,"GENERALPURPOSE,
 NEUROSURGERY, G I SURGERY,
 ORTHOPAEDICSURGERY
 INCLUDINGJOINT
 REPLACEMENT,LITHOTRIPSY,
 DIALYSIS,PLASTICSURGERY,
 UROSURGERY, NEPHROLOGY.","1.
 9919166222
 2.
 9919897376",CGHS_hospitals,1,,25.45418212,81.8613547,"PARVATI HOSPITAL
, 126, 50-A, Jawaharlal Nehru Rd, Tagore Town, Prayagraj, Uttar Pradesh, Allahabad, 211002",25.4542852,81.8613558,211006,"Parvati Hospital Pvt Ltd, Jawaharlal Nehru Road, George Town, Prayagraj, Prayagraj District, Uttar Pradesh, 211006, India",,0.487603306,0.66066213,0.572413793,0.729446624,0.004148834,0.172727273,0.04148834,0.629644377
275,RAJ NURSING HOME,"23A, Panna Lal Rd, Darbhanga Colony, George Town, Prayagraj, Uttar Pradesh",211002,Allahabad,Uttar Pradesh,India,,,,,,25.45607459,81.85277143,ROOFTOP,,"ANAESTHESIOLOGY,
 DENTISTRY,EMERGENCY
 MEDICINE, GENERAL MEDICINE,
 GENERALSURGERY,
 OBSTETRICSAND
 GYNAECOLOGY,ORTHOPAEDIC
 SURGERY(INCLUDINGJOINT
 REPLACEMENT),PAEDIATRICS,
 PSYCHIATRY,RESPIRATORY
 MEDICINE,DAYCARE
 SERVICES,CARDIOLOGY,
 CRITICALCARE,MEDICAL
 GASTROENTEROLOGY,
 NEPHROLOGY,NEUROLOGY,
 NEUROSURGERY,PAEDIATRIC
 GASTROENTEROLOGY,
 PAEDIATRIC SURGERY, PLASTIC
 ANDRECONSTRUCTIVE
 SURGERY,SURGICAL
 GASTROENTEROLOGY,
 UROLOGY(INCLUDING
 DIALYSIS AND LITHOTRIPSY)","1.
 9415324422
 2.
 8400240678",CGHS_hospitals,1,,25.45607,81.85277142,"RAJ NURSING HOME, 23A, Panna Lal Rd, Darbhanga Colony, George Town, Prayagraj, Uttar Pradesh, Allahabad, 211002",25.4560524,81.8527524,211002,"Raj Nursing Home, Allahabad, Pannalal Road, George Town, Prayagraj, Prayagraj District, Uttar Pradesh, 211002, India",,0.422413793,0.746001864,0.694029851,0.8195821,0.004179856,0.128440367,0.041798555,0.650479243
277,"KAMLA NEHRU MEMORIAL HOSPITAL, ","1, Hashimpur Rd, Tagore Town, Prayagraj, Uttar Pradesh",211002,Allahabad,Uttar Pradesh,India,,,,,,25.45904252,81.86143634,ROOFTOP,NABH,"CLINICALSERVICES GYNECOLOGY,ONCOLOGY COLOURDOPPLER,CTSCAN, BLOODTRANSFUSION
 SERVICES CRITICAL CARE (COMMON ICU),
 NEUROSURGERY,UROLOGY
 (EXCLUDINGDIALYSIS&
 LITHOTRIPSY)
 PHARMACY â€“ DISPENSARY
 ECG,MAMMOGRAPHY,
 ULTRASOUND, X-RAY
 TRANSFUSIONSERVICESâ€“
 (SURGICAL,RADIATION)
 ORTHOPEDICSURGERY
 INCLUDINGJOINT
 REPLACEMENT&
 ARTHROSCOPICSURGERY,
 PEDIATRICSINCLUDING
 NEONATOLOGY
 LABORATORYSERVICESâ€“
 CLINICALBIOCHEMISTRY,
 CLINICALMICROBIOLOGY&
 SEROLOGY,CLINICAL
 PATHOLOGY,HEMATOLOGY,
 HISTOPATHOLOGY.
 DIAGNOSTICSERVICE
 ANESTHESIOLOGY,
 CARDIOLOGY,CRITICAL&
 INTENSIVECARE,
 GASTROENTEROLOGY
 (MEDICAL), GENERAL SURGERY
 INCLUDING,LAPAROSCOPIC
 SURGERY,OBSTETRICS&","1.9839054661
 2.9839151318",CGHS_hospitals,1,,25.4590425,81.8614363,"KAMLA NEHRU MEMORIAL HOSPITAL, , 1, Hashimpur Rd, Tagore Town, Prayagraj, Uttar Pradesh, Allahabad, 211002",25.4590264,81.8614173,211001,"Kamla Nehru Hospital, Hashimpur Road, Chhota Baghara, George Town, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.365079365,0.619002242,0.536423841,0.700885078,0.003960484,0.070175439,0.039604842,0.555990374
278,AMAN HOSPITAL,"24/30/5, Aman Colony, Near Hari Masjid, Dhobi Ghat, Thornhill Rd, Civil Lines, Prayagraj, Uttar Pradesh",211001,Allahabad,Uttar Pradesh,India,,,,,,25.45924086,81.83824874,GEOMETRIC_CENTER,,"ANAESTHESIOLOGY, OPHTHALMOLOGY,FOLLOWUPFORRENEWED
 BIOMEDICALWASTE
 AUTHORIZATION.
 ORTHOPAEDICSURGERY
 (EXCLUDINGJOINT
 REPLACEMENT),PAEDIATRICS,
 CRITICALCARE,
 NEONATOLOGY.
 EMERGENCYMEDICINE,
 GENERALMEDICINE,GENERAL
 SURGERY,OBSTETRICSAND
 GYNAECOLOGY,ORTHOPAEDIC
 SURGERY(INCLUDINGJOINT
 REPLACEMENT),PAEDIATRICS,
 CRITICALCARE,
 NEONATOLOGY,
 NEUROSURGERY,ONCOLOGY
 (SURGICAL,
 GYNAECOLOGICAL),PLASTIC
 ANDRECONSTRUCTIVE
 SURGERY,UROLOGY
 (EXCLUDING DIALYSIS)","1.
 9452806841
 2.
 7897316164",CGHS_hospitals,1,,25.45924,81.8382487,"AMAN HOSPITAL, 24/30/5, Aman Colony, Near Hari Masjid, Dhobi Ghat, Thornhill Rd, Civil Lines, Prayagraj, Uttar Pradesh, Allahabad, 211001",25.4529334,81.8348882,211001,"Civil Lines, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.262773723,0.601540957,0.492857143,0.694740407,0.002877085,0.1171875,0.028770846,0.52300737
279,YASHLOK HOSPITAL & RESEARCH CENTRE,"43A, 31A, Hashimpur Rd, Tagore Town, Prayagraj, Uttar Pradesh",211001,Allahabad,Uttar Pradesh,India,,,,,,25.4602921,81.8656957,ROOFTOP,,"GENERALPURPOSE,
 ORTHOPAEDICSURGERY
 INCLUDINGJOINT
 REPLACEMENT","1.
 9919303667
 2.
 8318189832",CGHS_hospitals,1,,25.4602921,81.8656957,"YASHLOK HOSPITAL & RESEARCH CENTRE, 43A, 31A, Hashimpur Rd, Tagore Town, Prayagraj, Uttar Pradesh, Allahabad, 211001",25.4602781,81.8656993,211001,"Yashlok Hospital, Hashimpur Road, Chhota Baghara, George Town, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.31147541,0.621013369,0.515923567,0.680888672,0.003418549,0.140350877,0.034185493,0.551471627
281,ASHA HOSPITAL,"89/276, Muir Rd, behind Circuit House, Rajapur, Prayagraj, Uttar Pradesh",211002,Allahabad,Uttar Pradesh,India,,,,,,25.4663913,81.8268012,ROOFTOP,,"ANAESTHESIOLOGY,GENERAL
 MEDICINE, GENERAL SURGERY,
 ORTHOPAEDICSURGERY
 (INCLUDINGJOINT
 REPLACEMENT),OBSTETRICS
 AND GYNAECOLOGY, CRITICAL
 CARE,PAEDIATRICS,,
 OTORHINOLARYNGOLOGY,
 PAEDIATRICS,SURGICAL
 ONCOLOGY,MEDICAL
 GASTROENTEROLOGY,
 SURGICAL
 GASTROENTEROLOGY,
 NEONATOLOGY,NEPHROLOGY,
 NEUROLOGY,NEUROSURGERY,
 PLASTICAND
 RECONSTRUCTIVESURGERY,
 SURGICAL
 GASTROENTEROLOGY,
 ","1.
 9696890032
 2.
 9452979134",CGHS_hospitals,1,,25.466391,81.8268,"ASHA HOSPITAL, 89/276, Muir Rd, behind Circuit House, Rajapur, Prayagraj, Uttar Pradesh, Allahabad, 211002",25.46621,81.827549,211001,"Ashok Nagar, Prayagraj, Prayagraj District, Uttar Pradesh, 211001, India",,0.273584906,0.644234801,0.521367521,0.698249533,0.003559986,0.125,0.035599858,0.546016963
